accuracy,auc,loss,precision,recall,val_accuracy,val_auc,val_loss,val_precision,val_recall,learning_rate
0.8570293188095093,0.8348098397254944,0.3405981659889221,0.8684061169624329,0.2435813993215561,0.8636385202407837,0.8634414672851562,0.3161180019378662,0.9201834797859192,0.26644352078437805,0.0010000000474974513
0.8637171983718872,0.8607344031333923,0.31573382019996643,0.8792775869369507,0.2825778126716614,0.8696418404579163,0.8744115233421326,0.3020736277103424,0.8826988339424133,0.31904155015945435,0.0010000000474974513
0.867798388004303,0.8684383630752563,0.30760177969932556,0.8610721230506897,0.31768253445625305,0.7961854934692383,0.8660104870796204,0.3455238342285156,0.4559679925441742,0.6780894994735718,0.0010000000474974513
0.8702877759933472,0.8722589015960693,0.3028721511363983,0.8714743256568909,0.32872000336647034,0.871250331401825,0.8794792890548706,0.30582404136657715,0.8484377264976501,0.3476782441139221,0.0010000000474974513
0.8709101676940918,0.8743875622749329,0.30039510130882263,0.874049961566925,0.33145612478256226,0.8714227080345154,0.8793150186538696,0.305732399225235,0.814387321472168,0.3711082637310028,0.0010000000474974513
0.8712141513824463,0.8764026165008545,0.29820573329925537,0.8725810050964355,0.33417895436286926,0.868243932723999,0.8787259459495544,0.30852580070495605,0.7833389043807983,0.3716926872730255,0.0010000000474974513
0.8716018795967102,0.8776256442070007,0.29698702692985535,0.8720866441726685,0.33695492148399353,0.8060377240180969,0.8592768907546997,0.39748018980026245,0.4727762043476105,0.6624694466590881,0.0010000000474974513
0.8736245632171631,0.8827958703041077,0.2904312312602997,0.8738490343093872,0.3491612374782562,0.8731077909469604,0.8862451910972595,0.2909342646598816,0.809767484664917,0.38672828674316406,0.0005000000237487257
0.87398362159729,0.8842961192131042,0.2888036072254181,0.8705043196678162,0.35330525040626526,0.8774738311767578,0.8843411207199097,0.2903538942337036,0.8214018940925598,0.4090425968170166,0.0005000000237487257
0.8740553855895996,0.8848475813865662,0.2880847156047821,0.8712868094444275,0.3533450961112976,0.8748599886894226,0.8870362043380737,0.28941813111305237,0.8665562272071838,0.36122623085975647,0.0005000000237487257
0.874586820602417,0.8857053518295288,0.28712284564971924,0.8682881593704224,0.3584720194339752,0.8757120966911316,0.8874040842056274,0.28734439611434937,0.9073789715766907,0.3456062078475952,0.0005000000237487257
0.8744958639144897,0.8858189582824707,0.2870044708251953,0.8701298832893372,0.35685160756111145,0.8754344582557678,0.8872821927070618,0.2866702675819397,0.9288665652275085,0.3343959152698517,0.0005000000237487257
0.874591588973999,0.8864985704421997,0.28643712401390076,0.8691516518592834,0.3580204248428345,0.8704843521118164,0.8828035593032837,0.29256248474121094,0.9311187267303467,0.30379343032836914,0.0005000000237487257
0.8747543692588806,0.8870264887809753,0.28565916419029236,0.8707022070884705,0.3582196533679962,0.8751376271247864,0.8891588449478149,0.28665950894355774,0.8642722368240356,0.36436086893081665,0.0005000000237487257
0.8750248551368713,0.8870028257369995,0.2856229841709137,0.8691534996032715,0.360849529504776,0.8763248920440674,0.8909620046615601,0.2838585674762726,0.8624033331871033,0.37328657507896423,0.0005000000237487257
