Model,Accuracy,Precision,Recall,F1 Score,ROC AUC,Train Time (s)
Random Forest,0.9222350947406719,0.8522981693665218,0.6876527467856763,0.7611738414490709,0.9436908001541678,15.23
XGBoost,0.9015060846586176,0.9161384690394929,0.4991499309318882,0.6462152216528527,0.9229643122310756,2.25
ResMLP (Ours),0.9006922436161351,0.9583423736168366,0.46934438423121877,0.6300998573466476,0.9105940058040538,N/A
Gradient Boosting,0.8764780789521557,0.9344093910491563,0.3383274891084901,0.4967819947731794,0.872163462972155,6.67
DNN,0.8682726463238322,0.9449912126537786,0.2856763362023164,0.4387238903394256,0.8802933368234208,30.27
Logistic Regression,0.8605842421224974,0.925164637796847,0.24630751248538943,0.38904040615952673,0.8373863659437011,9.7
LSTM,0.8591959250500273,0.9310850439882697,0.236159812984805,0.37675877267333446,0.8364777070060769,83.61
Naive Bayes,0.8380169087444826,0.7535961640916355,0.1503028371055148,0.2506201275690999,0.812157985491686,0.4
